Time,rx,ry,rz,vx,vy,vz
2017-01-01 00:00:00,3762519.374555595,7653889.605494166,4920134.758261914,1634.5155553226564,-2724.4575287820444,6196.075069155325
2017-01-01 00:00:30,3810909.4164459007,7570853.175727476,5104581.676305688,1591.693531369218,-2810.5490392737133,6100.3529149031965
2017-01-01 00:01:00,3858033.5333309686,7485301.413982494,5286155.034899276,1550.121531589113,-2892.1726100325554,6004.536432760791
2017-01-01 00:01:30,3903929.138221831,7397365.723693009,5464854.683855763,1509.791966630507,-2969.5063786368737,5908.801136697209
2017-01-01 00:02:00,3948633.345824606,7307172.131194133,5640685.496452691,1470.6924349044004,-3042.729472421834,5813.305503230003
2017-01-01 00:02:30,3992182.8175184885,7214841.2722950205,5813656.836281292,1432.806323171427,-3112.0207184883816,5718.191870309289
2017-01-01 00:03:00,4034613.6558561567,7120488.432568244,5983782.100476622,1396.1132960735167,-3177.557599264827,5623.5872365800105
2017-01-01 00:03:30,4075961.305972669,7024223.5995653765,6151078.281974531,1360.5897107739156,-3239.5154187419103,5529.60401817245
2017-01-01 00:04:00,4116260.4618088445,6926151.557126523,6315565.538508986,1326.2091624051602,-3298.0663659229886,5436.341065719715
2017-01-01 00:04:30,4155544.9909714516,6826371.983141396,6477266.803296352,1292.9428624602579,-3353.3789031950046,5343.884474717654
2017-01-01 00:05:00,4193847.8621672746,6724979.551705191,6636207.407212601,1260.7599955211085,-3405.6172555621074,5252.308402871731
2017-01-01 00:05:30,4231201.095849644,6622064.084540429,6792414.740008702,1229.628121373444,-3454.9408748070728,5161.675979756051
2017-01-01 00:06:00,4267635.718387234,6517710.695128326,6945917.929330166,1199.5135031991356,-3501.5040720113197,5072.04013428725
2017-01-01 00:06:30,4303181.72744067,6411999.947232099,7096747.546317932,1170.3814127340747,-3545.455721427539,4983.444403294594
2017-01-01 00:07:00,4337868.064359924,6305008.01828163,7244935.332768201,1142.1964073885813,-3586.939041678309,4895.9237110939475
2017-01-01 00:07:30,4371722.621230445,6196806.907947093,7390513.989775341,1114.9226164438096,-3626.0913661997142,4809.50516077552
2017-01-01 00:08:00,4404772.190957281,6087464.555895089,7533516.895751926,1088.5239161584448,-3663.044163403158,4724.208687754406
2017-01-01 00:08:30,4437042.464507322,5977045.023316551,7673977.899202881,1062.9641534664538,-3697.9229633401346,4640.047770616194
2017-01-01 00:09:00,4468558.079892619,5865608.736718321,7811931.212358529,1038.2073578465966,-3730.847260931224,4557.030096293783
2017-01-01 00:09:30,4499342.586712324,5753212.606922376,7947411.176426019,1014.2178710953792,-3761.930649170023,4475.158142118728
2017-01-01 00:10:00,4529418.477017997,5639910.233686901,8080452.144518146,990.9605022686883,-3791.280851783915,4394.429757068305
2017-01-01 00:10:30,4558807.195621919,5525752.071285696,8211088.3429385945,968.400645129259,-3818.9998393947126,4314.838687813387
2017-01-01 00:11:00,4587529.15473773,5410785.594371666,8339353.747149497,946.504381655506,-3845.1839650765414,4236.375072311012
2017-01-01 00:11:30,4615603.765568718,5295055.475248782,8465281.997311119,925.2385752621267,-3869.92409694812,4159.025900297715
2017-01-01 00:12:00,4643049.453459809,5178603.734687418,8588906.293741886,904.5709404651035,-3893.3058001952536,4082.775431921916
2017-01-01 00:12:30,4669883.691946323,5061469.908208787,8710259.333999785,884.4701082011823,-3915.409502105473,4007.6055907704126
2017-01-01 00:13:00,4696123.028314888,4943691.193203838,8829373.243542198,864.905673277192,-3936.3106861532183,3933.4963190561552
2017-01-01 00:13:30,4721783.110266992,4825302.591829144,8946279.516523125,845.8482296303062,-3956.0800932169686,3860.425898952626
2017-01-01 00:14:00,4746878.710383402,4706337.044599571,9061008.959462566,827.2693951585221,-3974.783931383437,3788.371244582336
2017-01-01 00:14:30,4771423.776594592,4586825.582433583,9173591.68847613,809.1418435565188,-3992.4840485749382,3717.308187353754
2017-01-01 00:15:00,4795431.460784301,4466797.450993409,9284057.09739969,791.4393089935817,-4009.238145683633,3647.211706850892
2017-01-01 00:15:30,4818914.124177676,4346280.205592167,9392433.783773584,774.1365812663569,-4025.1000179111065,3578.0561420951917
2017-01-01 00:16:00,4841883.402234705,4225299.859890923,9498749.595834583,757.2095173900171,-4040.119708628817,3509.8153997824074
2017-01-01 00:16:30,4864350.215323791,4103880.972484944,9603031.582234727,740.6350250291532,-4054.343739392938,3442.46311802737
2017-01-01 00:17:00,4886324.804631839,3982046.754781574,9705305.994844778,724.3910525800065,-4067.8152975433395,3375.972822804516
2017-01-01 00:17:30,4907816.770425023,3859819.175145522,9805598.301561838,708.4565757217678,-4080.5744163598297,3310.3180667585684
2017-01-01 00:18:00,4928835.091989481,3737219.0410327655,9903933.167855933,692.8115738548515,-4092.6581732913387,3245.472544002659
2017-01-01 00:18:30,4949388.167422439,3614266.09333231,10000334.482815288,677.4370113702884,-4104.100854903174,3181.4101980743953
2017-01-01 00:19:00,4969483.834915769,3490979.081724321,10094825.352083221,662.3148101399343,-4114.934138285869,3118.105308577591
2017-01-01 00:19:30,4989129.406702259,3367375.844749465,10187428.120355127,647.4278250552137,-4125.187248634354,3055.532571495912
2017-01-01 00:20:00,5008331.692909958,3243473.3777026064,10278164.377593428,632.7598138978127,-4134.887121772987,2993.66716147933
2017-01-01 00:20:30,5027097.030152521,3119287.9005095647,10367054.977952009,618.2954089731729,-4144.058552305967,2932.4847885781737
2017-01-01 00:21:00,5045431.307115615,2994834.9198795175,10454120.056271734,604.0200867348549,-4152.724337243351,2871.961743486337
2017-01-01 00:21:30,5063339.987906972,2870129.286284446,10539379.043006672,589.9201363021986,-4160.9054140297285,2812.0749333108934
2017-01-01 00:22:00,5080828.137917505,2745185.248783154,10622850.687045794,575.9826291283049,-4168.620987709204,2752.8019121481047
2017-01-01 00:22:30,5097900.44275028,2620016.5033366177,10704553.067737535,562.1953857174601,-4175.8886573496175,2694.1208996972096
2017-01-01 00:23:00,5114561.238065734,2494636.2426487817,10784503.62970832,548.5469484835412,-4182.724523959549,2636.0108050287563
2017-01-01 00:23:30,5130814.531643246,2369057.199194544,10862719.205729168,535.0265509400076,-4189.143299115329,2578.4512377429696
2017-01-01 00:24:00,5146664.005622741,2243291.6788556883,10939216.004000163,521.6240781116888,-4195.158423971692,2521.422496928362
2017-01-01 00:24:30,5162113.05245869,2117351.604191117,11014009.65971369,508.3300453495015,-4200.782150187092,2464.905589799415
2017-01-01 00:25:00,5177164.796001523,1991248.5489619777,11087115.261205502,495.1355700179729,-4206.025628722204,2408.8822322343285
2017-01-01 00:25:30,5191822.0949322,1864993.7654725395,11158547.346301528,482.0323349041568,-4210.899006006815,2353.3348283801656
2017-01-01 00:26:00,5206087.5651292065,1738598.215522955,11228319.932381747,469.0125637547948,-4215.411498513264,2298.2464698007625
2017-01-01 00:26:30,5219963.603614932,1612072.5988830158,11296446.551024433,456.06899835697914,-4219.5714610186005,2243.600933873823
2017-01-01 00:27:00,5233452.3954640785,1485427.3762130337,11362940.254899878,443.19486728728975,-4223.386461523516,2189.382662117815
2017-01-01 00:27:30,5246555.923577014,1358672.791357824,11427813.629711246,430.383858163541,-4226.863348382447,2135.576741888722
